idx,description
1,"Head: Tilts slightly back to allow the water to flow down the throat; Hand: Grasps the water container (like a glass or a bottle) securely; Arm: Raises the water container towards the mouth for drinking; Hip: Maintains balance and stability while drinking; Leg: May shift weight slightly to support the body's position; Foot: May adjust position for stability, especially if standing or walking while drinking."
13,"Head: Might tilt slightly forward to focus on the paper being torn; Hand: Grasps the paper firmly and applies pressure to tear it; Arm: Moves in a controlled motion to tear the paper, using strength and coordination; Hip: Often remains stationary, providing stability to the upper body during the tearing process; Leg: Can shift weight slightly for balance or stability, especially if standing while tearing paper; Foot: Generally remains in place, providing support to the leg and body during the activity."
14,"Head: May lean slightly forward or tilt to one side to allow the jacket to slip on more easily; Hand: Grasps the edges of the jacket collar or sleeves to guide them onto the arms; Arm: Slides into the sleeves of the jacket one at a time, with the hand leading the way; Hip: May shift slightly to accommodate the movement of the arms and shoulders as the jacket is put on; Leg: Generally remains in place but may shift weight slightly for balance; Foot: Usually remains planted on the ground, providing stability while putting on the jacket."
15,"Head: Often remains upright or may tilt slightly forward as the jacket is removed; Hand: Grasps the edges of the jacket or reaches for the zipper to start the removal process; Arm: Pulls one arm out of the sleeve at a time, with the hand leading the way; Hip: May shift slightly to accommodate the movement of the arms and shoulders as the jacket is taken off; Leg: Generally remains in place but may shift weight slightly for balance; Foot: Usually remains planted on the ground, providing stability while taking off the jacket."
16,"Head: Generally remains upright, with perhaps a slight tilt downwards to watch the process; Hand: Grabs the shoe and holds it steady while guiding the foot into it; Arm: May assist by holding the shoe or offering support to maintain balance; Hip: Often remains stable, providing a solid base for the body during the shoe-putting process; Leg: Lifts slightly as the foot slides into the shoe, then lowers once it's in place; Foot: Slides into the shoe, pressing against the heel and toe to ensure a snug fit."
17,"Head: Often remains upright, with perhaps a slight tilt downwards to watch the process; Hand: Reaches down to grasp the shoe and holds it steady while guiding it off the foot; Arm: May assist by holding the shoe or offering support to maintain balance; Hip: Often remains stable, providing a solid base for the body during the shoe removal process; Leg: Lifts slightly as the foot is pulled out of the shoe, then lowers once it's free; Foot: Slides out of the shoe, with the heel lifting first followed by the rest of the foot."
18,"Head: Tilts slightly forward or remains upright to facilitate the placement of the glasses on the face; Hand: Grasps the glasses by the frames or temples; Arm: Raises the glasses towards the face, positioning them in front of the eyes; Hip: Generally remains stationary, providing stability to the upper body during the process; Leg: May shift weight slightly for balance, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while putting on the glasses."
19,"Head: May tilt slightly forward or remain upright as the glasses are removed; Hand: Grasps the glasses by the frames or temples; Arm: Lowers the glasses away from the face, allowing them to be taken off; Hip: Generally remains stationary, providing stability to the upper body during the process; Leg: May shift weight slightly for balance, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while taking off the glasses."
20,"Head: Bends slightly forward or remains upright to position the hat correctly; Hand: Holds the hat by its brim or crown, preparing to place it on the head; Arm: Lifts the hat towards the head, guiding it into position; Hip: Often remains stationary, providing stability to the upper body during the process; Leg: May shift weight slightly for balance, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while putting on the hat or cap."
21,"Head: May tilt slightly forward or remain upright as the hat is removed; Hand: Grasps the hat by its brim or crown, preparing to lift it off; Arm: Raises the hat away from the head, guiding it off; Hip: Often remains stationary, providing stability to the upper body during the process; Leg: May shift weight slightly for balance, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while taking off the hat or cap."
22,"Head: Lifts slightly, with a smile or a bright expression on the face; Hand: Raises into the air or claps together enthusiastically; Arm: Extends upward or outward in celebration; Hip: May sway or move rhythmically in excitement; Leg: Can jump or bounce with energy; Foot: May tap or stomp in excitement or happiness."
23,"Head: Might turn slightly to acknowledge the person being waved at or to follow the motion of the hand; Hand: Moves back and forth in a greeting gesture, typically with the palm facing outward; Arm: Swings in conjunction with the hand, helping to propel the waving motion; Hip: Generally remains stationary, providing stability to the upper body; Leg: Can shift slightly for balance, especially if the waving motion is energetic; Foot: Typically remains in place, providing support to the leg and body during the waving motion."
24,"Head: Typically remains stable and focused on the target or direction of the kick; Hand: Often remains by the side or may be used for balance, especially if the kick requires precision or power; Arm: Can swing slightly for balance or momentum, but primarily stays by the side; Hip: Rotates slightly to provide power and momentum to the kicking leg; Leg: Extends forward rapidly, with the knee bending and the foot making contact with the object being kicked; Foot: Strikes the object with force, then retracts quickly to maintain balance and prepare for the next movement."
25,"Head: May tilt slightly forward or to the side to watch the hand as it reaches into the pocket; Hand: Extends towards the pocket, fingers ready to grasp whatever is inside; Arm: Moves in conjunction with the hand, guiding it into the pocket; Hip: Often remains stable, providing a base for the arm to reach into the pocket; Leg: May slightly shift weight for balance or stability during the reaching motion; Foot: Typically remains in place, providing support to the leg and body while reaching into the pocket."
26,"Head: Generally stays level, with eyes focused on the direction of movement; Hand: Often stays by the side for balance, but may move slightly to aid in stabilizing the body; Arm: Can swing gently to assist in maintaining balance while hopping; Hip: Moves in coordination with the leg to provide propulsion and stability; Leg: Extends and pushes off the ground to propel the body upwards during the hop; Foot: Lifts off the ground, providing the push needed for the hop, then lands again to absorb the impact."
27,"Head: May tilt slightly upwards as the body prepares to jump; Hand: Often stays by the side or may swing slightly for balance during the jump; Arm: Can swing gently to aid in propulsion and balance during the jump; Hip: Bends slightly to provide power and momentum for the jump; Leg: Bends at the knee, then extends forcefully to propel the body upwards; Foot: Pushes off the ground with force, providing the main thrust for the jump."
28,"Head: Typically remains upright, with the ear positioned close to the phone's speaker; Hand: Holds the phone securely, bringing it to the ear or holding it in front of the mouth; Arm: Supports the weight of the phone and may adjust its position for comfort during the call; Hip: Often remains stationary, providing stability to the upper body during the call; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, providing support to the leg and body during the call."
29,"Head: May tilt slightly downwards to focus on the screen of the device; Hand: Holds the phone or tablet securely and controls its movements, such as tapping or swiping; Arm: Supports the weight of the device and may adjust its position for comfort during use; Hip: Often remains stationary, providing stability to the upper body; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, providing support to the leg and body while using the phone or tablet."
30,"Head: Typically remains upright, with eyes focused on the screen or keyboard; Hand: Moves fingers to press keys on the keyboard; Arm: Supports the weight of the hand and provides stability during typing; Hip: Often remains stationary, providing stability to the upper body; Leg: Can be crossed or resting on the ground, providing support and stability; Foot: Typically remains in place, providing support to the leg and body while typing."
31,"Head: May turn slightly to direct attention towards the object being pointed at; Hand: Extends the index finger towards the object, pointing in its direction; Arm: Moves in conjunction with the hand, guiding it to point accurately; Hip: Often remains stable, providing a base for the arm to move freely; Leg: Can shift weight slightly for balance or to adjust position; Foot: Typically remains in place, providing support to the leg and body while pointing."
32,"Head: May tilt slightly to find the best angle or position for the selfie; Hand: Holds the phone or camera at arm's length, ready to take the photo; Arm: Extends outward to hold the phone or camera, positioning it for the selfie; Hip: Often remains stable, providing a base for the body while taking the photo; Leg: Can shift weight slightly for balance or to adjust position; Foot: Typically remains in place, providing support to the leg and body while taking the selfie."
33,"Head: Tilts slightly downwards or to the side to glance at the watch face; Hand: Raises and rotates the wrist to bring the watch face into view; Arm: Moves in conjunction with the hand, positioning the watch for easy viewing; Hip: Generally remains stable, providing a base for the body during the action; Leg: Can shift weight slightly for balance or to adjust position; Foot: Typically remains in place, providing support to the leg and body while checking the time."
34,"Head: Often stays upright, with the eyes potentially focused on the hands or elsewhere; Hand: Rubs against the other hand, creating friction and warmth; Arm: Moves in coordination with the hands, providing the motion for rubbing; Hip: Generally remains stable, providing a base for the upper body; Leg: Can shift slightly for comfort or balance, but typically stays in place; Foot: Typically remains in place, providing support to the leg and body during the action."
35,"Head: Bows forward or tilts downward in a nodding motion; Hand: Typically remains by the side or may be used for balance, especially during a deep bow; Arm: Can hang by the side or may be placed across the chest, depending on the depth of the bow; Hip: Often remains stable, providing a base for the upper body; Leg: Can step forward or shift weight slightly for balance, especially during a deeper bow; Foot: Typically remains in place, providing support to the leg and body during the action."
36,"Head: Moves from side to side in a horizontal motion; Hand: Typically remains by the side or may be used for balance, especially if the shaking motion is vigorous; Arm: Can hang by the side or may move slightly to accompany the motion of the head; Hip: Often remains stable, providing a base for the upper body; Leg: Can shift weight slightly for balance, especially if the shaking motion is forceful; Foot: Typically remains in place, providing support to the leg and body during the action."
37,"Head: May tilt slightly to one side or lean forward to facilitate the wiping motion; Hand: Holds a tissue, cloth, or handkerchief and makes contact with the face to wipe away sweat, dirt, or moisture; Arm: Moves the hand in a gentle wiping motion across the face, covering areas like the forehead, cheeks, or chin; Hip: Often remains stationary, providing stability to the upper body during the wiping process; Leg: Can shift weight slightly for balance or comfort, especially if standing or adjusting position; Foot: Typically remains in place, providing support to the leg and body while wiping the face."
38,"Head: Tilts slightly upward or remains upright, often facing forward; Hand: Raises to the forehead or eyebrow level, with fingers extended and held together; Arm: Lifts the hand in a swift and straight motion towards the head; Hip: Generally remains stationary, providing stability to the upper body during the salute; Leg: Can remain straight or may slightly bend at the knee for balance; Foot: Typically remains in place, providing support to the leg and body during the salute."
39,"Head: Generally remains upright, with eyes potentially focused on the hands or elsewhere; Hand: Brings both palms together, fingers aligned and facing each other; Arm: Moves the hands towards each other, bringing the palms together; Hip: Typically remains stable, providing a base for the upper body; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action."
40,"Head: Generally remains upright, with eyes potentially focused on the hands or elsewhere; Hand: Crosses one hand over the other, fingers may interlace or rest on the opposite arm; Arm: Crosses one arm over the other, typically at the wrists or forearms; Hip: Often remains stable, providing a base for the upper body; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action."
41,"Head: May tilt slightly forward or downwards as the body prepares for the sneeze or cough; Hand: Can cover the mouth and nose to contain the sneeze or cough, or may be used to hold a tissue or handkerchief; Arm: Moves in conjunction with the hand to cover the mouth and nose; Hip: Typically remains stable, providing a base for the upper body during the sneeze or cough; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action."
42,"Head: Might sway or tilt slightly, possibly struggling to maintain balance; Hand: May reach out for support or attempt to stabilize the body by grasping onto nearby objects; Arm: Can swing or flail in an uncoordinated manner as the body tries to regain balance; Hip: Often shifts from side to side as the body struggles to maintain equilibrium; Leg: May step unevenly or buckle under the weight, causing an unsteady gait; Foot: Can land awkwardly or stumble as the person attempts to walk or stand."
43,"Head: Often tilts backwards or to the side as the body loses balance; Hand: Can reach out in an attempt to grab onto something for support or to break the fall; Arm: May flail or extend outward in an instinctive effort to regain balance or cushion the fall; Hip: Typically shifts suddenly as the body begins to lose stability; Leg: May buckle or give way under the weight of the body, contributing to the fall; Foot: Often loses contact with the ground or may land awkwardly as the person begins to fall."
44,"Head: Might be held or massaged as the person tries to alleviate the pain; Hand: Can be used to hold the head or apply pressure to specific areas to relieve discomfort; Arm: May reach for medication or a cold compress to help alleviate the headache; Hip: Often remains stable, providing support to the upper body during discomfort; Leg: Can adjust position for comfort, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person tries to find relief from the headache."
45,"Head: May tilt slightly forward or to the side as the person focuses on the pain or seeks help; Hand: Might clutch at the chest or move towards it in an attempt to alleviate or gauge the severity of the pain; Arm: Can support the body or be used to hold onto nearby objects for stability; Hip: Often remains stable, providing a base for the upper body during discomfort; Leg: Can adjust position for comfort, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person deals with the chest pain."
46,"Head: May tilt slightly forward or to the side as the person tries to find a more comfortable position; Hand: Might reach back to touch or support the affected area of the back; Arm: Can assist in supporting the body or reaching for objects to help alleviate the pain; Hip: Often remains stable, providing a base for the upper body during discomfort; Leg: Can adjust position for comfort, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person deals with the back pain."
47,"Head: May tilt slightly to one side or forward in an attempt to alleviate discomfort; Hand: Might reach up to gently massage or support the neck; Arm: Can assist in supporting the head or reaching for objects to help alleviate the pain; Hip: Often remains stable, providing a base for the upper body during discomfort; Leg: Can adjust position for comfort, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person deals with the neck pain."
48,"Head: May bow forward or lean over a surface in anticipation of vomiting; Hand: Can cover the mouth or hold onto a container for vomiting; Arm: May extend to support the body or hold onto nearby objects for stability; Hip: Often remains stable, providing a base for the upper body during the episode; Leg: Can adjust position for comfort or stability, but typically stays in a resting position; Foot: Generally remains in place, providing support while the person deals with nausea or vomiting."
49,"Head: May tilt slightly back to expose the face and neck to the moving air; Hand: Holds the fan and moves it back and forth in front of the face or body; Arm: Moves in conjunction with the hand, providing the motion for fanning; Hip: Often remains stable, providing a base for the upper body during the fanning motion; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body while fanning."
50,"Head: Typically remains steady or may turn slightly in the direction of the punch or slap; Hand: Makes contact with the target area with force, whether in a closed fist for punching or an open palm for slapping; Arm: Extends outward to deliver the punch or slap, with the shoulder providing power and momentum; Hip: May rotate or shift slightly to add force to the punch or slap, especially for punches delivered with the entire body; Leg: Can provide stability and balance, with the stance adjusting depending on the force of the punch or slap; Foot: Typically remains grounded to provide a solid base, but may pivot or shift weight depending on the movement."
51,"Head: Typically remains steady, although it may turn slightly to follow the target; Hand: Often remains by the side for balance, but may move to guard the face or aid in stability; Arm: Can swing in the opposite direction of the kick for balance or can be used for defense; Hip: Rotates to generate power for the kick, especially in kicks that involve the entire body; Leg: Extends forward with force, making contact with the target; Foot: Strikes the target with the desired force, whether with the ball, instep, or heel, depending on the type of kick."
52,"Head: Typically remains steady, although it may lean slightly forward to provide momentum; Hand: Applies force against the object or person being pushed; Arm: Extends outward to transfer the force from the hand to the target; Hip: May shift slightly forward or to the side to add power to the push; Leg: Can push against the ground to provide stability and power to the push; Foot: Provides the foundation for the leg to push against the ground, ensuring balance and support during the action."
53,"Head: Typically remains upright or may tilt slightly forward to observe the action; Hand: Makes contact with the other person's back in a gentle tapping motion; Arm: Moves in conjunction with the hand to deliver the pat on the back; Hip: Often remains stable, providing a base for the upper body during the action; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body while patting someone on the back."
54,"Head: May turn slightly to direct attention toward the direction of the finger; Hand: Extends the index finger outward, pointing in the desired direction; Arm: Moves in conjunction with the hand to guide the pointing motion; Hip: Often remains stable, providing a base for the upper body during the action; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body while pointing."
55,"Head: May lean slightly to one side or rest against the other person's shoulder; Hand: Typically wraps around the other person's back, shoulder, or waist; Arm: Encircles the other person in a gentle embrace, often crossing over their back; Hip: May tilt slightly forward to bring the body closer during the hug; Leg: Can shift weight slightly for balance or comfort, especially if standing; Foot: Typically remains in place, providing support to the leg and body during the hug."
56,"Head: May turn slightly to direct attention towards the recipient or the object being given; Hand: Offers the object to the recipient, extending it towards them; Arm: Moves in conjunction with the hand to deliver the object to the recipient; Hip: Often remains stable, providing a base for the upper body during the action; Leg: Can shift weight slightly for balance or comfort, especially if standing; Foot: Typically remains in place, providing support to the leg and body during the action of giving the object."
57,"Head: May turn slightly to observe the hand reaching towards the pocket; Hand: Moves towards the pocket to feel or retrieve something inside; Arm: Extends to reach the pocket, guiding the hand towards it; Hip: Often remains stable, providing a base for the upper body during the action; Leg: Can shift slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the action of touching the pocket."
58,"Head: Typically remains steady, with a slight nod or tilt forward as a sign of acknowledgment; Hand: Extends forward to meet the other person's hand, clasping firmly for the handshake; Arm: Moves in conjunction with the hand, extending forward to meet the other person's hand; Hip: Often remains stable, providing a base for the upper body during the handshake; Leg: Can shift weight slightly for balance or comfort; Foot: Typically remains in place, providing support to the leg and body during the handshake."
59,"Head: Typically faces forward, scanning the path ahead; Hand: Swings naturally at the sides or may be used for balance; Arm: Swings in coordination with the opposite leg to maintain balance and rhythm; Hip: Moves in a gentle swaying motion, providing momentum for the steps; Leg: Alternates in a synchronized pattern, lifting and extending to propel the body forward; Foot: Makes contact with the ground, pushing off to take the next step in the walking motion."
60,"Head: Generally faces forward, but may turn slightly to maintain awareness of the other person; Hand: Can hang loosely at the sides or may swing naturally with the movement; Arm: Typically swings in rhythm with the opposite leg, aiding in balance and momentum; Hip: May sway gently to the side opposite the direction of the steps, aiding in stability; Leg: Moves in a coordinated pattern with the arms, taking steps away from each other; Foot: Makes contact with the ground, providing support and propulsion for each step taken apart."
